Time [s],TL_CLK,TL_IN_RDY,TL_IN_DATA,TL_IN_VAL,TL_OUT_VAL,TL_OUT_DATA,TL_OUT_RDY
4.270659187,1,1,0,0,0,0,0
4.271159188,0,1,0,0,0,0,0
4.271659188,1,1,0,0,0,0,0
4.272159250,0,1,0,0,0,0,0
4.272659250,1,1,0,0,0,0,0
4.273159312,0,1,0,0,0,0,0
4.273659313,1,1,0,0,0,0,0
4.274159313,0,1,0,0,0,0,0
4.274659375,1,1,0,0,0,0,0
4.275159375,0,1,0,0,0,0,0
4.275659437,1,1,0,0,0,0,0
4.276159437,0,1,0,0,0,0,0
4.276659500,1,1,0,0,0,0,0
4.277159500,0,1,0,0,0,0,0
4.277659500,1,1,0,0,0,0,0
4.278159562,0,1,0,0,0,0,0
4.278659562,1,1,0,0,0,0,0
4.279159625,0,1,0,0,0,0,0
4.279659625,1,1,0,0,0,0,0
4.280159688,0,1,0,0,0,0,0
4.280659688,1,1,0,0,0,0,0
4.281159687,0,1,0,0,0,0,0
4.281659750,1,1,0,0,0,0,0
4.282159750,0,1,0,0,0,0,0
4.282659813,1,1,0,0,0,0,0
4.283159813,0,1,0,0,0,0,0
4.283659875,1,1,0,0,0,0,0
4.284159875,0,1,0,0,0,0,0
4.284659875,1,1,0,0,0,0,0
4.285159937,0,1,0,0,0,0,0
4.285659938,1,1,0,0,0,0,0
4.286160000,0,1,0,0,0,0,0
4.286660000,1,1,0,0,0,0,0
4.287160000,0,1,0,0,0,0,0
4.287660063,1,1,0,0,0,0,0
4.288160063,0,1,0,0,0,0,0
4.288660125,1,1,0,0,0,0,0
4.289160125,0,1,0,0,0,0,0
4.289660187,1,1,0,0,0,0,0
4.290160187,0,1,0,0,0,0,0
4.290660188,1,1,0,0,0,0,0
4.291160250,0,1,0,0,0,0,0
4.291660250,1,1,0,0,0,0,0
4.292160313,0,1,0,0,0,0,0
4.292660312,1,1,0,0,0,0,0
4.293160375,0,1,0,0,0,0,0
4.293660375,1,1,0,0,0,0,0
4.294160375,0,1,0,0,0,0,0
4.294660438,1,1,0,0,0,0,0
4.295160437,0,1,0,0,0,0,0
4.295660500,1,1,0,0,0,0,0
4.296160500,0,1,0,0,0,0,0
4.296660562,1,1,0,0,0,0,0
4.297160563,0,1,0,0,0,0,0
4.297660562,1,1,0,0,0,0,0
4.298160625,0,1,0,0,0,0,0
4.298660625,1,1,0,0,0,0,0
4.299160687,0,1,0,0,0,0,0
4.299660688,1,1,0,0,0,0,0
4.300160750,0,1,0,0,0,0,0
4.300660750,1,1,0,0,0,0,0
4.301160750,0,1,0,0,0,0,0
4.301660812,1,1,0,0,0,0,0
4.302160813,0,1,0,0,0,0,0
4.302660875,1,1,0,0,0,0,0
4.303160875,0,1,0,0,0,0,0
4.303660938,1,1,0,0,0,0,0
4.304160937,0,1,0,0,0,0,0
4.304660937,1,1,0,0,0,0,0
4.305161000,0,1,0,0,0,0,0
4.305661000,1,1,0,0,0,0,0
4.306161063,0,1,0,0,0,0,0
4.306661062,1,1,0,0,0,0,0
4.307161062,0,1,0,0,0,0,0
4.307661125,1,1,0,0,0,0,0
4.308161125,0,1,0,0,0,0,0
4.308661188,1,1,0,0,0,0,0
4.309161187,0,1,0,0,0,0,0
4.309661250,1,1,0,0,0,0,0
4.310161250,0,1,0,0,0,0,0
4.310661250,1,1,0,0,0,0,0
4.311161313,0,1,0,0,0,0,0
4.311661313,1,1,0,0,0,0,0
4.312161375,0,1,0,0,0,0,0
4.312661375,1,1,0,0,0,0,0
4.313161437,0,1,0,0,0,0,0
4.313661438,1,1,0,0,0,0,0
4.314161438,0,1,0,0,0,0,0
4.314661500,1,1,0,0,0,0,0
4.315161500,0,1,0,0,0,0,0
4.315661562,1,1,0,0,0,0,0
4.316161562,0,1,0,0,0,0,0
4.316661625,1,1,0,0,0,0,0
4.317161625,0,1,0,0,0,0,0
4.317661625,1,1,0,0,0,0,0
4.318161687,0,1,0,0,0,0,0
4.318661687,1,1,0,0,0,0,0
4.319161750,0,1,0,0,0,0,0
4.319661750,1,1,0,0,0,0,0
4.320161750,0,1,0,0,0,0,0
4.320661813,1,1,0,0,0,0,0
4.321161812,0,1,0,0,0,0,0
4.321661875,1,1,0,0,0,0,0
4.322161875,0,1,0,0,0,0,0
4.322661938,1,1,0,0,0,0,0
4.323161938,0,1,0,0,0,0,0
4.323661937,1,1,0,0,0,0,0
4.324162000,0,1,0,0,0,0,0
4.324662000,1,1,0,0,0,0,0
4.325162062,0,1,0,0,0,0,0
4.325662063,1,1,0,0,0,0,0
4.326162125,0,1,0,0,0,0,0
4.326662125,1,1,0,0,0,0,0
4.327162125,0,1,0,0,0,0,0
4.327662187,1,1,0,0,0,0,0
4.328162188,0,1,0,0,0,0,0
4.328662250,1,1,0,0,0,0,0
4.329162250,0,1,0,0,0,0,0
4.329662312,1,1,0,0,0,0,0
4.330162312,0,1,0,0,0,0,0
4.330662313,1,1,0,0,0,0,0
4.331162375,0,1,0,0,0,0,0
4.331662375,1,1,0,0,0,0,0
4.332162438,0,1,0,0,0,0,0
4.332662437,1,1,0,0,0,0,0
4.333162500,0,1,0,0,0,0,0
4.333662500,1,1,0,0,0,0,0
4.334162500,0,1,0,0,0,0,0
4.334662562,1,1,0,0,0,0,0
4.335162562,0,1,0,0,0,0,0
4.335662625,1,1,0,0,0,0,0
4.336162625,0,1,0,0,0,0,0
4.336662687,1,1,0,0,0,0,0
4.337162688,0,1,0,0,0,0,0
4.337662687,1,1,0,0,0,0,0
4.338162750,0,1,0,0,0,0,0
4.338662750,1,1,0,0,0,0,0
4.339162812,0,1,0,0,0,0,0
